City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
dengzhou,37.8086,120.7508,-1.18,83,67,8.31,CN,1613361917
cururupu,-1.8283,-44.8683,24.01,95,100,1.3,BR,1613361917
grojec,51.8625,20.8676,-6.11,100,100,6.11,PL,1613361917
tahe,52.3333,124.7333,-21.33,85,94,3.36,CN,1613361917
havoysund,70.9963,24.6622,1.0,86,90,1.03,NO,1613361918
colac,-38.3333,143.5833,20.56,70,85,0.89,AU,1613361918
klaksvik,62.2266,-6.589,8.0,87,75,6.17,FO,1613361747
erzin,36.9559,36.2,12.78,76,1,1.22,TR,1613361918
aktau,43.65,51.2,3.0,87,90,1.0,KZ,1613361918
puerto ayora,-0.7393,-90.3518,25.0,91,81,2.69,EC,1613361918
semey,50.4111,80.2275,-13.0,85,0,5.0,KZ,1613361919
svetlogorsk,52.6333,29.7333,-13.02,96,40,2.51,BY,1613361919
makkaveyevo,51.7533,113.9454,-22.0,64,100,2.1,RU,1613361919
santa rosalia,27.3167,-112.2833,13.19,59,91,1.41,MX,1613361919
airai,-8.9266,125.4092,22.89,71,99,2.08,TL,1613361919
la ronge,55.1001,-105.2842,-27.0,83,0,1.03,CA,1613361920
kachiry,53.0675,76.1036,-5.81,97,100,3.61,KZ,1613361920
kurumkan,54.3,110.3,-19.93,82,73,0.44,RU,1613361920
manturovo,58.3353,44.7619,-21.03,91,99,2.41,RU,1613361920
kalevala,65.2,31.1667,-16.45,92,20,2.71,RU,1613361920
tacuati,-23.45,-56.5833,23.58,82,19,1.29,PY,1613361921
hasaki,35.7333,140.8333,15.0,100,75,8.75,JP,1613361921
kingaroy,-26.5333,151.8333,29.0,45,75,4.63,AU,1613361729
bijar,35.8668,47.6051,0.84,80,0,1.7,IR,1613361921
pisco,-13.7,-76.2167,22.0,78,0,1.54,PE,1613361826
ashta,23.0167,76.7167,24.95,22,0,1.36,IN,1613361922
hibbing,47.4272,-92.9377,-27.0,57,1,3.09,US,1613361922
milkovo,54.7167,158.6167,-15.51,89,79,0.46,RU,1613361922
san francisco,37.7749,-122.4194,12.22,91,100,1.34,US,1613361892
codrington,-38.2667,141.9667,20.26,63,100,5.81,AU,1613361922
tupa,-21.9347,-50.5136,21.61,89,96,0.7,BR,1613361923
ponta delgada,37.7333,-25.6667,16.0,77,75,13.38,PT,1613361729
lishui,28.4604,119.9103,20.05,47,0,1.5,CN,1613361923
maua,-23.6678,-46.4614,23.33,85,100,1.79,BR,1613361923
maltahohe,-24.8333,16.9833,16.03,45,0,2.63,NA,1613361923
kalabo,-14.97,22.6814,17.68,75,99,1.83,ZM,1613361924
wad madani,14.4012,33.5199,21.53,27,0,3.74,SD,1613361924
amarante do maranhao,-5.5667,-46.7422,22.22,98,100,0.78,BR,1613361924
nexo,55.0607,15.1306,-8.0,100,57,1.54,DK,1613361924
grand-santi,4.25,-54.3833,21.15,97,99,1.11,GF,1613361924
muskegon,43.3,-86.1334,-12.0,61,90,3.6,US,1613361925
javanrud,34.7961,46.5172,-3.0,80,0,1.71,IR,1613361925
bang saphan,11.2126,99.5117,31.0,66,40,2.06,TH,1613361925
fez,34.0372,-4.9998,9.0,71,0,3.6,MA,1613361925
nishihara,26.1842,127.7558,22.0,43,75,7.2,JP,1613361925
chardara,41.2547,67.9692,12.19,51,0,3.36,KZ,1613361926
mahebourg,-20.4081,57.7,24.0,88,40,2.06,MU,1613361926
bantry,51.6833,-9.45,9.0,93,75,7.72,IE,1613361926
greencastle,39.6445,-86.8647,-9.44,79,90,4.63,US,1613361926
naze,28.3667,129.4833,20.0,64,20,8.75,JP,1613361854
slavyanka,42.8633,131.3847,-6.94,93,100,9.77,RU,1613361927
wageningen,51.9667,5.6667,2.22,51,75,7.2,NL,1613361927
saint paul,44.9444,-93.0933,-22.0,49,1,4.63,US,1613361650
aklavik,68.2191,-135.0107,-19.0,84,99,0.51,CA,1613361927
lujiang,31.2581,117.2817,11.67,81,75,6.0,CN,1613361928
lubu,23.1742,112.2809,23.89,99,0,2.17,CN,1613361928
colares,38.7992,-9.4469,12.78,67,58,5.36,PT,1613361928
pangkalanbuun,-2.6833,111.6167,32.94,53,75,1.5,ID,1613361928
teruel,40.6667,-0.6667,7.0,100,100,4.63,ES,1613361928
birao,10.2849,22.7882,21.23,24,46,2.84,CF,1613361929
esperance,-33.8667,121.9,31.0,27,23,3.09,AU,1613361929
kruisfontein,-34.0033,24.7314,19.44,83,93,3.13,ZA,1613361929
tapiramuta,-11.8472,-40.7914,16.58,100,55,1.49,BR,1613361929
laguna,38.421,-121.4238,10.56,76,90,2.57,US,1613361929
mansa,29.9833,75.3833,20.55,28,69,1.72,IN,1613361930
benjamin constant,-4.3831,-70.0311,25.0,100,40,1.41,BR,1613361930
mackay,-21.15,149.2,31.0,51,90,5.14,AU,1613361713
tromso,69.6496,18.957,1.0,86,75,1.03,NO,1613361930
vestmannaeyjar,63.4427,-20.2734,6.57,80,100,6.24,IS,1613361930
krasnorechenskiy,44.6265,135.3532,-4.65,96,100,2.17,RU,1613361931
adrasmon,40.6472,69.9856,9.0,57,2,6.0,TJ,1613361931
huron,41.1501,-82.5499,-9.44,88,97,3.1,US,1613361931
bayanday,53.0661,105.5139,-19.96,84,2,4.52,RU,1613361931
hamilton,39.1834,-84.5333,-6.11,73,90,6.17,US,1613361694
moundsville,39.9203,-80.7431,-1.67,68,90,2.57,US,1613361931
san patricio,28.017,-97.5169,-1.0,93,90,12.86,US,1613361932
novosergiyevka,52.0934,53.6528,-19.59,91,10,3.26,RU,1613361932
miguel auza,24.2933,-103.4503,10.75,40,42,9.99,MX,1613361932
chifeng,42.2683,118.9636,-8.88,74,25,2.33,CN,1613361932
saint-georges,12.0564,-61.7485,26.0,78,20,7.2,GD,1613361932
saint-francois,46.4154,3.9054,-1.0,86,0,2.06,FR,1613361933
byron bay,-28.65,153.6167,25.0,69,75,8.75,AU,1613361933
saint anthony,45.0205,-93.218,-23.0,49,1,2.06,US,1613361933
vanavara,60.34,102.2797,-31.21,82,1,1.11,RU,1613361934
lorengau,-2.0226,147.2712,28.68,74,100,2.46,PG,1613361934
caravelas,-17.7125,-39.2481,23.82,84,100,2.85,BR,1613361736
santo antonio do leverger,-15.8656,-56.0767,24.0,78,75,2.06,BR,1613361934
magadi,12.9667,77.2333,25.56,36,63,1.54,IN,1613361934
inongo,-1.95,18.2667,23.17,91,99,1.98,CD,1613361662
chor,25.5167,69.7667,22.6,40,33,2.49,PK,1613361935
sawtell,-30.3833,153.1,26.0,61,90,9.77,AU,1613361935
coari,-4.085,-63.1414,24.49,89,100,0.61,BR,1613361935
berlevag,70.8578,29.0864,-4.33,92,84,2.97,NO,1613361876
mogadishu,2.0371,45.3438,24.91,80,65,7.44,SO,1613361935
estevan,49.1334,-102.9842,-27.0,76,1,1.54,CA,1613361663
tautira,-17.7333,-149.15,28.0,69,40,5.14,PF,1613361936
kozan,37.4552,35.8157,12.78,100,40,2.57,TR,1613361936
cabedelo,-6.9811,-34.8339,26.0,89,20,2.57,BR,1613361936
riyadh,24.6877,46.7219,15.0,29,0,1.91,SA,1613361936
salinas,36.6777,-121.6555,12.0,71,90,2.06,US,1613361937
srednekolymsk,67.45,153.6833,-28.19,85,9,3.99,RU,1613361937
cap malheureux,-19.9842,57.6142,28.33,73,100,1.34,MU,1613361937
te anau,-45.4167,167.7167,18.5,57,4,3.37,NZ,1613361937
dillon,34.4166,-79.3712,5.0,100,90,4.63,US,1613361937
poum,-20.2333,164.0167,26.81,76,5,2.51,NC,1613361938
xinqing,48.2333,129.5,-15.7,81,94,2.8,CN,1613361938
sioux city,42.5,-96.4003,-23.89,64,1,3.6,US,1613361762
ahuimanu,21.4447,-157.8378,25.0,73,75,3.6,US,1613361938
vestmanna,62.1564,-7.1664,8.0,87,75,6.17,FO,1613361938
krasnoselkup,65.7,82.4667,-26.62,85,100,10.52,RU,1613361846
bitung,1.4451,125.1824,24.0,94,40,0.51,ID,1613361829
eureka,40.8021,-124.1637,10.0,97,100,0.45,US,1613361939
lompoc,34.6391,-120.4579,11.0,76,1,5.14,US,1613361935
constitucion,-35.3333,-72.4167,13.47,87,0,2.43,CL,1613361939
san bartolome de tirajana,27.9248,-15.5733,17.22,82,40,5.14,ES,1613361939
jiangyou,31.7667,104.7167,17.89,27,93,2.57,CN,1613361940
bose,45.4612,8.0137,-1.11,71,21,1.61,IT,1613361940
manta,-0.95,-80.7333,26.0,83,75,3.6,EC,1613361940
billings,45.7833,-108.5007,-20.0,71,90,1.27,US,1613361871
vila franca do campo,37.7167,-25.4333,16.0,77,75,13.38,PT,1613361941
emerald,-23.5333,148.1667,32.0,45,40,4.12,AU,1613361690
muyezerskiy,63.9333,31.65,-18.88,92,31,2.47,RU,1613361941
vilhena,-12.7406,-60.1458,20.48,91,100,1.64,BR,1613361941
sabang,5.8933,95.3214,28.5,74,13,7.85,ID,1613361941
alugan,12.2188,125.4808,24.54,94,100,7.54,PH,1613361942
chirongui,-12.9319,45.1483,28.0,83,75,5.14,YT,1613361942
miyako,39.6367,141.9525,10.61,90,100,6.83,JP,1613361942
puerto madero,14.7208,-92.4215,21.0,100,20,1.03,MX,1613361942
sechura,-5.5569,-80.8222,24.99,66,68,5.09,PE,1613361726
burley,42.5357,-113.7928,-3.0,80,90,1.46,US,1613361942
entre rios,-11.9419,-38.0844,19.6,93,65,1.03,BR,1613361943
loandjili,-4.7561,11.8578,25.0,94,40,2.06,CG,1613361943
onokhoy,51.932,108.0747,-15.0,51,40,5.0,RU,1613361943
rorvik,64.8621,11.2373,-0.25,86,0,7.99,NO,1613361943
port hedland,-20.3167,118.5667,35.0,41,72,4.63,AU,1613361943
comalcalco,18.2667,-93.2167,24.0,69,1,4.12,MX,1613361944
whitecourt,54.1502,-115.6855,-20.0,65,75,3.6,CA,1613361698
atambua,-9.1061,124.8925,27.4,74,100,2.6,ID,1613361944
kostroma,57.7708,40.9344,-21.0,77,75,3.0,RU,1613361944
hami,42.8,93.45,2.95,65,24,1.18,CN,1613361944
sapa,5.1544,120.3241,28.34,77,100,6.26,PH,1613361945
yongan,39.6957,113.6871,-1.1,62,0,10.93,CN,1613361945
mgandu,-5.95,34.1333,16.0,97,91,1.47,TZ,1613361945
hidalgo,20.5,-99.0,13.58,32,0,3.43,MX,1613361945
pangai,-19.8,-174.35,29.0,79,40,2.06,TO,1613361945
pontianak,-0.0333,109.3333,30.0,58,20,3.6,ID,1613361946
inuvik,68.3499,-133.7218,-19.0,84,92,0.51,CA,1613361946
khorixas,-20.3667,14.9667,18.19,82,58,1.22,NA,1613361946
igarka,67.4667,86.5833,-34.97,79,2,3.28,RU,1613361946
oistins,13.0667,-59.5333,26.0,65,20,10.29,BB,1613361688
puerto del rosario,28.5004,-13.8627,17.0,88,90,3.6,ES,1613361947
varhaug,58.6147,5.6457,1.0,93,90,9.26,NO,1613361947
odenthal,51.0348,7.1182,1.11,40,0,5.14,DE,1613361947
podporozhye,60.9112,34.1706,-26.59,87,0,0.96,RU,1613361947
mapastepec,15.4333,-92.9,21.6,49,0,1.56,MX,1613361948
carupano,10.6678,-63.2585,23.71,87,38,5.14,VE,1613361948
marsh harbour,26.5412,-77.0636,24.3,86,0,6.85,BS,1613361909
saiha,22.4833,92.9667,25.81,19,0,1.23,IN,1613361948
san quintin,30.4833,-115.95,13.78,72,31,4.85,MX,1613361948
batagay,67.6333,134.6333,-28.98,84,100,0.66,RU,1613361948
tunceli,39.1083,39.5471,9.0,61,75,3.09,TR,1613361949
raudeberg,61.9875,5.1352,2.78,74,100,6.75,NO,1613361949
sisimiut,66.9395,-53.6735,-16.84,85,66,6.57,GL,1613361949
churapcha,62.0025,132.4325,-24.62,86,100,2.12,RU,1613361949
jidong,45.2167,131.0833,-12.17,92,100,5.12,CN,1613361949
arlit,18.7369,7.3853,20.98,21,48,3.9,NE,1613361950
biltine,14.5333,20.9167,22.26,20,0,6.22,TD,1613361950
guiratinga,-16.3494,-53.7583,21.94,94,100,1.28,BR,1613361950
makakilo city,21.3469,-158.0858,28.0,65,20,6.17,US,1613361708
miles city,46.4083,-105.8406,-21.0,65,1,5.66,US,1613361872
oranjemund,-28.55,16.4333,16.85,81,0,4.6,NA,1613361950
labuhan,-6.8844,112.2051,28.65,74,70,3.99,ID,1613361951
bilibino,68.0546,166.4372,-17.09,88,92,0.42,RU,1613361951
polunochnoye,60.8697,60.4153,-31.37,87,53,1.66,RU,1613361951
itupiranga,-5.1347,-49.3267,23.28,97,100,2.13,BR,1613361951
russell,32.3502,-85.1999,8.0,87,90,2.06,US,1613361951
kargil,34.5667,76.1,-13.48,78,12,0.48,IN,1613361951
villablino,42.9393,-6.3194,3.89,99,100,3.5,ES,1613361952
klyuchi,52.2667,79.1667,-6.35,95,100,4.62,RU,1613361952
moussoro,13.6408,16.4901,21.3,21,0,4.88,TD,1613361952
grosseto,42.8333,11.25,-3.0,86,0,1.03,IT,1613361952
luanda,-8.8368,13.2343,25.0,83,40,2.57,AO,1613361870
north bend,43.4065,-124.2243,11.0,82,90,6.69,US,1613361907
awjilah,29.1081,21.2869,11.41,81,0,4.11,LY,1613361953
kosh-agach,50.0,88.6667,-13.39,84,0,0.09,RU,1613361953
redcar,54.6166,-1.06,5.0,93,71,3.58,GB,1613361953
auki,-8.7676,160.7034,29.5,68,44,3.13,SB,1613361953
touros,-5.1989,-35.4608,26.0,83,20,3.09,BR,1613361953
timmins,48.4669,-81.3331,-20.0,77,40,2.06,CA,1613361843
shestakovo,56.4915,103.96,-23.39,84,75,0.73,RU,1613361954
ambatofinandrahana,-20.55,46.8,15.92,90,100,1.47,MG,1613361954
raga,8.4596,25.678,18.78,29,51,1.3,SS,1613361955
harnai,30.1005,67.9374,18.55,22,0,1.84,PK,1613361955
asau,46.4333,26.4,-3.0,86,90,2.57,RO,1613361955
crotone,39.0851,17.1178,-1.11,92,90,8.23,IT,1613361955
huaidian,33.4333,115.0333,9.68,46,100,4.57,CN,1613361955
vardo,70.3705,31.1107,-5.0,86,75,7.0,NO,1613361956
yaan,7.3833,8.5667,25.33,78,0,3.06,NG,1613361956
hammerfest,70.6634,23.6821,1.0,86,90,1.03,NO,1613361956
road town,18.4167,-64.6167,25.0,86,10,2.68,VG,1613361956
kinkala,-4.3614,14.7644,25.0,88,75,1.03,CG,1613361956
new amsterdam,6.25,-57.5167,24.61,79,51,3.04,GY,1613361956
tadine,-21.55,167.8833,28.66,67,6,2.19,NC,1613361957
kudahuvadhoo,2.6708,72.8944,27.43,75,94,5.97,MV,1613361957
stepnyak,52.8339,70.7803,-7.8,93,97,4.2,KZ,1613361957
mount isa,-20.7333,139.5,33.0,46,75,4.12,AU,1613361957
wewak,-3.5534,143.6268,26.96,83,100,4.7,PG,1613361958
bonavista,48.6499,-53.1147,-5.0,86,100,1.03,CA,1613361958
tombouctou,20.0,-3.0,19.58,22,0,7.07,ML,1613361958
flin flon,54.7682,-101.865,-23.02,89,74,2.4,CA,1613361958
chapais,49.7834,-74.8492,-14.0,85,90,1.54,CA,1613361764
sungaipenuh,-2.0833,101.3833,27.01,60,43,0.19,ID,1613361959
leninskoye,41.7589,69.3864,10.0,32,0,5.14,KZ,1613361959
makat,47.6469,53.3463,-0.81,87,67,2.44,KZ,1613361959
kihei,20.785,-156.4656,26.0,65,40,2.57,US,1613361959
kondinskoye,59.6481,67.41,-23.45,90,21,1.86,RU,1613361959
kortkeros,61.8106,51.5806,-23.0,77,75,3.0,RU,1613361959
san isidro,-12.1167,-77.05,23.0,68,0,5.66,PE,1613361960
ayagoz,47.9714,80.4392,-6.69,86,53,1.47,KZ,1613361960
gohpur,26.8833,93.6333,19.0,82,75,2.92,IN,1613361960
roald,62.5833,6.1333,4.0,45,90,5.14,NO,1613361961
fairbanks,64.8378,-147.7164,-20.0,70,1,0.56,US,1613361961
barinas,8.6226,-70.2075,26.67,59,100,1.68,VE,1613361961
aksha,50.2814,113.2867,-15.39,85,100,3.23,RU,1613361961
coihaique,-45.5752,-72.0662,10.0,66,0,2.06,CL,1613361880
ballina,-28.8667,153.5667,26.0,69,75,8.75,AU,1613361962
buzovna,40.5179,50.1139,5.0,93,90,5.14,AZ,1613361962
tocopilla,-22.092,-70.1979,20.16,67,15,2.4,CL,1613361713
port hardy,50.6996,-127.4199,5.0,81,90,11.32,CA,1613361612
cascais,38.6979,-9.4215,12.78,67,68,5.36,PT,1613361962
iquitos,-3.7481,-73.2472,26.0,83,75,4.12,PE,1613361962
champerico,14.3,-91.9167,16.11,61,0,0.89,GT,1613361963
mankono,8.0586,-6.1897,24.09,83,0,3.01,CI,1613361963
port macquarie,-31.4333,152.9167,24.0,64,90,8.23,AU,1613361963
guerrero negro,27.9769,-114.0611,14.23,79,45,5.87,MX,1613361964
namikupa,-10.8333,39.6,23.42,94,99,2.67,TZ,1613361964
alpena,45.0617,-83.4327,-12.78,66,90,4.12,US,1613361964
babu,24.4167,111.5167,24.24,48,0,0.96,CN,1613361964
clinton,42.587,-82.9199,-7.78,67,90,2.06,US,1613361924
ust-kulom,61.6864,53.6902,-24.3,89,99,1.68,RU,1613361964
kidal,18.4411,1.4078,21.32,18,0,4.59,ML,1613361965
eyl,7.9803,49.8164,22.31,80,73,5.78,SO,1613361965
belmonte,-15.8631,-38.8828,24.0,78,20,2.06,BR,1613361965
seabra,-12.4186,-41.7703,18.56,77,65,2.33,BR,1613361965
necochea,-38.5473,-58.7368,18.89,90,78,4.47,AR,1613361966
port keats,-14.25,129.55,31.67,66,99,2.58,AU,1613361966
haines junction,60.7522,-137.5108,-29.0,76,9,0.16,CA,1613361966
nobeoka,32.5833,131.6667,11.11,78,34,4.92,JP,1613361966
los llanos de aridane,28.6585,-17.9182,16.67,82,0,4.12,ES,1613361966
mkushi,-13.6202,29.3939,16.39,95,24,1.81,ZM,1613361967
vostok,46.4856,135.8833,-10.22,96,100,2.48,RU,1613361967
saint-joseph,-21.3667,55.6167,28.0,61,0,2.57,RE,1613361967
springbok,-29.6643,17.8865,11.04,87,3,1.98,ZA,1613361967
baghdad,33.3406,44.4009,10.0,76,0,1.54,IQ,1613361967
abha,18.2164,42.5053,14.0,66,0,0.54,SA,1613361968
urumqi,43.801,87.6005,-9.0,92,75,1.0,CN,1613361968
wilmington,34.2257,-77.9447,6.67,93,90,3.09,US,1613361687
konongo,6.6167,-1.2167,22.87,96,14,1.44,GH,1613361968
les cayes,18.2,-73.75,25.15,78,58,4.25,HT,1613361968
yashkul,46.1711,45.3435,-2.74,82,98,3.24,RU,1613361969
kobelyaky,49.1489,34.1965,-13.95,95,0,2.02,UA,1613361969
port said,31.2565,32.2841,14.0,67,0,3.06,EG,1613361969
yatou,37.15,122.3833,-1.05,80,0,10.82,CN,1613361969
mangai,-4.05,19.5333,21.56,97,97,0.57,CD,1613361969
verkh-usugli,52.7,115.1667,-20.35,80,86,2.2,RU,1613361970
pringsewu,-5.3582,104.9744,28.53,73,74,3.15,ID,1613361970
ambon,-3.6954,128.1814,33.0,55,40,3.6,ID,1613361970
along,28.1667,94.7667,22.09,45,55,1.31,IN,1613361970
palmer,42.1584,-72.3287,-2.0,64,20,2.57,US,1613361705
pacific grove,36.6177,-121.9166,12.22,76,90,3.6,US,1613361970
volary,48.9088,13.8866,-10.56,69,17,2.24,CZ,1613361971
neftcala,39.3742,49.2472,7.32,86,100,5.92,AZ,1613361971
harper,4.375,-7.7169,25.9,88,90,2.2,LR,1613361796
meulaboh,4.1363,96.1285,30.21,65,59,1.33,ID,1613361971
harrisonburg,38.4496,-78.8689,0.0,98,100,1.17,US,1613361736
